name,mult,charge,chi,smi
C5H8O(309),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h4H,2-3H2,1H3",O=C=CCCC
S(400),2,0,"InChI=1S/C5H7O3/c1-2-5(8-7)3-4-6/h3,5H,2H2,1H3",[O]OC(CC)C=C=O
S(399),2,0,"InChI=1S/C5H7O3/c1-2-3-4-5(6)8-7/h3-4H,2H2,1H3",O=C(O[O])C=CCC
S(320),1,0,"InChI=1S/C5H6O2/c6-4-1-2-5(7)3-4/h1,6H,2-3H2",OC=1CC(=O)CC=1
S(382),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h2-4,6-7H,1H2",OC1C[CH]C(OO)=C1
S(338),1,0,"InChI=1S/C5H6O2/c6-4-1-2-5(7)3-4/h3,6H,1-2H2",OC=1CCC(=O)C=1
C5H8O3(65),1,0,"InChI=1S/C5H8O3/c6-8-4-2-1-3-5(4)7-3/h3-6H,1-2H2",OOC1C2OC2CC1
C5H7O(175),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-6H,1H2",OC=CC=C[CH2]
C5H7O(139),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h4-5H,2H2,1H3",O=CC=[C]CC
C5H7O(301),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h1,3H,4H2,2H3",O=C(CC)C=[CH]
S(1099),1,0,"InChI=1S/C5H6O2/c6-3-1-2-4(3)5(2)7/h2-4,6H,1H2",OC1C2C(C1)C2=O
S(417),2,0,"InChI=1S/C5H7O3/c1-5(8-7)3-2-4-6/h2-5H,1H3",O=CC=CC(O[O])C
S(418),2,0,"InChI=1S/C5H7O3/c1-2-3-5(4-6)8-7/h2-5H,1H3",O=CC(O[O])C=CC
C5H8O(184),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,4-6H,1,3H2",OC=CCC=C
C3H4O(180),1,0,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",O=CC=C
C3H3(515),2,0,"InChI=1S/C3H3/c1-3-2/h1H,2H2",[CH2]C#C
C2H4O(514),1,0,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",OC=C
S(328),1,0,"InChI=1S/C5H8O3/c6-4-1-2-5(3-4)8-7/h1,5-7H,2-3H2",OC=1CC(OO)CC=1
C5H7O3(48),2,0,"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2",OOC1CC2OC2[CH]1
S(673),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1-2,4-5,7H,3H2",OOC1CC([O])C=C1
S(1000),2,0,"InChI=1S/C5H7O3/c6-3-1-2-4(7)5(3)8/h3,5-6H,1-2H2",OC1CCC(=O)C1[O]
S(891),2,0,"InChI=1S/C5H7O3/c6-8-3-1-2-5-4-7-5/h2,4,6H,1,3H2",OOCCC=C1O[CH]1
C5H6O(271),1,0,InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-6H,OC1C=CC=C1
C5H6(267),1,0,"InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2",C1C=CC=C1
S(128),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4-7-5/h4-6H,1,3H2",OOC1OC=[C]CC1
C3H5(80),2,0,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",[CH2]C=C
C2H2O(349),1,0,InChI=1S/C2H2O/c1-2-3/h1H2,O=C=C
C5H7O(903),2,0,"InChI=1S/C5H7O/c1-5(2)3-4-6/h4H,1-3H2",O=CCC([CH2])=C
S(524),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,4-5,7H,3H2",OO[CH]CC=CC=O
S(369),1,0,"InChI=1S/C5H6O2/c6-4-2-1-3-5-7/h1-2,4-5H,3H2",O=CCC=CC=O
S(710),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-7-8-5/h3-5H,1-2H2",O=CCC[CH]C1OO1
C5H6O2(47),1,0,"InChI=1S/C5H6O2/c6-3-1-4-5(2-3)7-4/h4-5H,1-2H2",O=C1CC2OC2C1
S(825),2,0,"InChI=1S/C5H7O3/c1-4-2-3-5(6)8-7-4/h4H,1-3H2",O=C1OOC(CC1)[CH2]
S(281),1,0,"InChI=1S/C5H6O2/c1-3-2-5(6-3)4(1)7-5/h3-4H,1-2H2",O1C23OC(C3)CC21
S(365),2,0,"InChI=1S/C5H7O3/c6-4-5-2-1-3-7-8-5/h2,4-5H,1,3H2",O=CC1OOCC[CH]1
S(339),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3,5-6H,1-2H2",OC=1CCC(O[O])C=1
S(370),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-4,7H,5H2",OOC[CH]C=CC=O
C5H7O(177),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,4-6H,3H2",OC=CCC=[CH]
CHO(203),2,0,InChI=1S/CHO/c1-2/h1H,O=[CH]
S(708),2,0,"InChI=1S/C5H7O3/c6-3-1-2-5-4-7-8-5/h3-5H,1-2H2",O=CCCC1OO[CH]1
S(322),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5-6H,2-3H2",OC=1CC(O[O])CC=1
S(324),2,0,"InChI=1S/C5H7O3/c1-2-5(6)3-4-8-7/h2,4,7H,1,3H2",OO[CH]CC(=O)C=C
S(1426),1,0,"InChI=1S/C5H6O2/c1-2-5(7)3-4-6/h2,4H,1,3H2",O=C(CC=O)C=C
S(1239),2,0,"InChI=1S/C5H7O3/c6-3-1-2-5(8)4-7/h4-5,8H,1-2H2",OC(CC[C]=O)C=O
S(238),1,0,"InChI=1S/C5H8O3/c6-3-5(8-7)4-1-2-4/h3-5,7H,1-2H2",OOC(C1CC1)C=O
S(129),1,0,"InChI=1S/C5H8O3/c6-8-5-3-1-2-4-7-5/h2,4-6H,1,3H2",OOC1OC=CCC1
S(308),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h2H,1,3,5H2",[O]OCCCC=C=O
S(519),2,0,"InChI=1S/C5H7O3/c1-2-3-4-5(6)8-7/h1,5-6H,3-4H2",OC(O[O])CCC#C
S(230),2,0,"InChI=1S/C5H7O3/c6-5(8-7)3-1-2-4-5/h1,3,6H,2,4H2",OC1(O[O])CCC=C1
S(235),1,0,"InChI=1S/C5H8O3/c6-4-1-2-5(3-4)8-7/h3-4,6-7H,1-2H2",OC1CCC(OO)=C1
S(580),2,0,"InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h3-4,6H,1-2H2",OC1CCC([O])=C1
C5H7O(277),2,0,"InChI=1S/C5H7O/c1-3-4-5(2)6/h3H,1-2,4H2",O=C(CC=C)[CH2]
S(887),1,0,"InChI=1S/C5H6O2/c1-2-3-4-5(6)7-4/h2,4H,1,3H2",O=C1OC1CC=C
S(302),2,0,"InChI=1S/C5H7O3/c1-2-5(6)3-4-8-7/h2H,1,3-4H2",O=C(CCO[O])C=C
C4H6(858),1,0,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",C=CC=C
S(373),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,7H,3,5H2",OOCCC=C[C]=O
C5H7O(404),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2-5H,1H3",CC1O[CH]C=C1
