eq,obj,orig_eq,orig_chi
C5H7O(14) = C5H7O(25),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-11: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-11: {order: 0.9, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 0, 3, 2, 4, 5, 7, 8, 11, 6, 12, 9, 10]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(14) = C5H7O(25),"AMChI=1/C5H7O/c6-5-2-3-1(7-2)4-5/h1-2H,3-4H2/k7-2/f7-1"
C5H7O(14) = C5H7O(25),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-11: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-11: {order: 0.9, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 0, 3, 2, 4, 5, 7, 8, 11, 6, 12, 9, 10]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(14) = C5H7O(25),"AMChI=1/C5H7O/c6-5-2-3-1(7-2)4-5/h1-2H,3-4H2/k7-2/f7-1"
C5H7O(14) = C5H7O(3)r0,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 3, 2, 0, 4, 5, 7, 8, 11, 12, 9, 10, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(14) = C5H7O(3),"AMChI=1/C5H7O/c1-2-4-5(6-1)3-1/h1H,2-4H2/k6-1/r1"
C5H7O(14) = C5H7O(3)r1,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 3, 2, 0, 4, 5, 7, 8, 11, 12, 9, 10, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(14) = C5H7O(3),"AMChI=1/C5H7O/c1-2-4-5(6-1)3-1/h1H,2-4H2/k6-1/r1"
C5H7O(15) = C5H7O(3)r1,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 0.1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 2, 0, 3, 4, 5, 8, 9, 10, 11, 7, 6, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(15) = C5H7O(3),"AMChI=1/C5H7O/c1-2-3-4-5(1)6-2/h2H,1,3-4H2/k2-1/r1"
C5H7O(15) = C5H7O(3)r0,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 0.1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 2, 0, 3, 4, 5, 8, 9, 10, 11, 7, 6, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(15) = C5H7O(3),"AMChI=1/C5H7O/c1-2-3-4-5(1)6-2/h2H,1,3-4H2/k2-1/r1"
C5H7O(15) = C5H7O(41),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-4: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 0.9, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-10: {order: 0.1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10, 12]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(15) = C5H7O(41),"AMChI=1/C5H7O/c1-5-3-4-2(7-3)6-5/h2-3H,1,4H2/k7-3/f7-2"
C5H7O(15) = C5H7O(41),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-4: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 0.9, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-10: {order: 0.1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10, 12]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(15) = C5H7O(41),"AMChI=1/C5H7O/c1-5-3-4-2(7-3)6-5/h2-3H,1,4H2/k7-3/f7-2"
C5H7O(16)r0 = C5H7O(3)r0,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 0.1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(3),"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h5H,1-3H2/k2-1/r1"
C5H7O(16)r1 = C5H7O(3)r1,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 0.1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(3),"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h5H,1-3H2/k2-1/r1"
C5H7O(16)r0 = C5H7O(73),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-12: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 0.9, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 0, 2, 4, 3, 5, 8, 9, 12, 6, 7, 10, 11]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(73),AMChI=1/C5H7O/c1-4-3-5(6-4)2-7-5/h1-3H2/k7-5/f7-2/r0
C5H7O(16)r1 = C5H7O(73),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-12: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 0.9, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [1, 0, 2, 4, 3, 5, 8, 9, 12, 6, 7, 10, 11]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(73),AMChI=1/C5H7O/c1-4-3-5(6-4)2-7-5/h1-3H2/k7-5/f7-2/r0
C5H7O(16)r0 = C5H7O(73),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  1-12: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 0.9, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 12, 8, 9, 10, 11]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(73),AMChI=1/C5H7O/c1-5-3-4(6-5)2-7-5/h1-3H2/k7-5/f7-2/r0
C5H7O(16)r1 = C5H7O(73),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  1-12: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 0.9, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 12, 8, 9, 10, 11]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C5H7O(16) = C5H7O(73),AMChI=1/C5H7O/c1-5-3-4(6-5)2-7-5/h1-3H2/k7-5/f7-2/r0
