name,mult,charge,chi,orig_name,orig_chi,orig_smi
C5H7O(15)r0,2,0,"AMChI=1/C5H7O/c1-2-4-5-3-6-5/h2-3,5H,1,4H2/t5-/m0/s1",C5H7O(15),"InChI=1S/C5H7O/c1-2-3-5-4-6-5/h2,4-5H,1,3H2",C=CCC1O[CH]1
C5H7O(15)r1,2,0,"AMChI=1/C5H7O/c1-2-4-5-3-6-5/h2-3,5H,1,4H2/t5-/m1/s1",C5H7O(15),"InChI=1S/C5H7O/c1-2-3-5-4-6-5/h2,4-5H,1,3H2",C=CCC1O[CH]1
C5H7O(7)r0,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h5H,1-3H2/t5-/m0/s1",C5H7O(7),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h5H,1-3H2",[CH2]CC1OC1=C
C5H7O(7)r1,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h5H,1-3H2/t5-/m1/s1",C5H7O(7),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h5H,1-3H2",[CH2]CC1OC1=C
C5H7O(12)rr0,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2/t4-,5-/m0/s1",C5H7O(12),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2",[CH2]C1OC1C=C
C5H7O(12)rs0,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2/t4-,5+/m0/s1",C5H7O(12),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2",[CH2]C1OC1C=C
C5H7O(12)rs1,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2/t4-,5+/m1/s1",C5H7O(12),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2",[CH2]C1OC1C=C
C5H7O(12)rr1,2,0,"AMChI=1/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2/t4-,5-/m1/s1",C5H7O(12),"InChI=1S/C5H7O/c1-3-5-4(2)6-5/h3-5H,1-2H2",[CH2]C1OC1C=C
C5H7O(6),2,0,"AMChI=1/C5H7O/c1-3-4-5-2-6-5/h2H,1,3-4H2",C5H7O(6),"InChI=1S/C5H7O/c1-2-3-5-4-6-5/h4H,1-3H2",[CH2]CCC=1OC=1
C5H7O3(28)r0,2,0,"AMChI=1/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2/t5-/m0/s1",C5H7O3(28),"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2",O=C1C(O[O])CCC1
C5H7O3(28)r1,2,0,"AMChI=1/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2/t5-/m1/s1",C5H7O3(28),"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2",O=C1C(O[O])CCC1
C5H7O(29)rs,2,0,"AMChI=1/C5H7O/c1-4-2-3-5(1)6-4/h1,4-5H,2-3H2/t4-,5+",C5H7O(29),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h3-5H,1-2H2",O1C2CCC1[CH]2
C5H7O3(44)r0,2,0,"AMChI=1/C5H7O3/c6-8-5-4-3-1-2-7-5/h1-2,5H,3-4H2/t5-/m0/s1",C5H7O3(44),"InChI=1S/C5H7O3/c6-8-5-3-1-2-4-7-5/h2,4-5H,1,3H2",[O]OC1OC=CCC1
C5H7O3(44)r1,2,0,"AMChI=1/C5H7O3/c6-8-5-4-3-1-2-7-5/h1-2,5H,3-4H2/t5-/m1/s1",C5H7O3(44),"InChI=1S/C5H7O3/c6-8-5-3-1-2-4-7-5/h2,4-5H,1,3H2",[O]OC1OC=CCC1
C5H6O(25),1,0,"AMChI=1/C5H6O/c6-5-2-1-3-4-5/h1-2H,3-4H2",C5H6O(25),"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",O=C1CCC=C1
C5H7O(30)z,2,0,"AMChI=1/C5H7O/c1-5-3-2-4-6/h2-4H,1,5H2/b3-2-",C5H7O(30),"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2",O=CC=CC[CH2]
C5H7O(30)e,2,0,"AMChI=1/C5H7O/c1-5-3-2-4-6/h2-4H,1,5H2/b3-2+",C5H7O(30),"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2",O=CC=CC[CH2]
C5H7O(35)r0,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h2,5-6H,3-4H2/t5-/m0/s1",C5H7O(35),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h4-6H,1,3H2",OC1CC[C]=C1
C5H7O(35)r1,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h2,5-6H,3-4H2/t5-/m1/s1",C5H7O(35),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h4-6H,1,3H2",OC1CC[C]=C1
C5H7O(31)z,2,0,"AMChI=1/C5H7O/c1-2-4-5-3-6/h1-3H,4-5H2/b2-1-",C5H7O(31),"InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,5H,3-4H2",O=CCCC=[CH]
C5H7O(31)e,2,0,"AMChI=1/C5H7O/c1-2-4-5-3-6/h1-3H,4-5H2/b2-1+",C5H7O(31),"InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,5H,3-4H2",O=CCCC=[CH]
C5H7O(135)z,2,0,"AMChI=1/C5H7O/c6-2-1-5-3-4-5/h1-2,5H,3-4H2/b2-1-",C5H7O(135),"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h3-5H,1-2H2",O=C[CH]C1CC1
C5H7O(135)e,2,0,"AMChI=1/C5H7O/c6-2-1-5-3-4-5/h1-2,5H,3-4H2/b2-1+",C5H7O(135),"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h3-5H,1-2H2",O=C[CH]C1CC1
C5H7O(76)z,2,0,"AMChI=1/C5H7O/c1-2-5-3-4-6/h2-4H,1,5H2/b4-3-",C5H7O(76),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2,4-5H,1,3H2",O=C[CH]CC=C
C5H7O(76)e,2,0,"AMChI=1/C5H7O/c1-2-5-3-4-6/h2-4H,1,5H2/b4-3+",C5H7O(76),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2,4-5H,1,3H2",O=C[CH]CC=C
C5H7O(38)z,2,0,"AMChI=1/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2/b5-3-",C5H7O(38),"InChI=1S/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2",C=C[CH]OC=C
C5H7O(38)e,2,0,"AMChI=1/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2/b5-3+",C5H7O(38),"InChI=1S/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2",C=C[CH]OC=C
C5H8O(143)z,1,0,"AMChI=1/C5H8O/c1-5-3-2-4-6/h2-4H,5H2,1H3/b3-2-",C5H8O(143),"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3",O=CC=CCC
C5H8O(143)e,1,0,"AMChI=1/C5H8O/c1-5-3-2-4-6/h2-4H,5H2,1H3/b3-2+",C5H8O(143),"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3",O=CC=CCC
C5H8O(63),1,0,"AMChI=1/C5H8O/c1-2-6-5-4-3-1/h1-2H,3-5H2",C5H8O(63),"InChI=1S/C5H8O/c1-2-4-6-5-3-1/h2,4H,1,3,5H2",O1CCCC=C1
C5H8O(62)r0,1,0,"AMChI=1/C5H8O/c6-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m0/s1",C5H8O(62),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(62)r1,1,0,"AMChI=1/C5H8O/c6-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m1/s1",C5H8O(62),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(61),1,0,AMChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2,C5H8O(61),InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,O=C1CCCC1
C5H8O(60),1,0,"AMChI=1/C5H8O/c6-5-1-2-3-4-5/h1,6H,2-4H2",C5H8O(60),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h3,6H,1-2,4H2",OC=1CCCC=1
HO2(45),2,0,AMChI=1/HO2/c1-2/h2H,HO2(45),InChI=1S/HO2/c1-2/h1H,O[O]
C5H7O(34)r0,2,0,"AMChI=1/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2/t5-/m0/s1",C5H7O(34),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2",OC1CC=C[CH]1
C5H7O(34)r1,2,0,"AMChI=1/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2/t5-/m1/s1",C5H7O(34),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2",OC1CC=C[CH]1
C5H7O(26),2,0,"AMChI=1/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",C5H7O(26),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",O=C1CC[CH]C1
C5H7O3(49)rr0,2,0,"AMChI=1/C5H7O3/c6-8-4-1-3-5(7-3)2-4/h4-6H,1-2H2/t4-,5-/m0/s1",C5H7O3(49),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2",OOC1CC2O[C]2C1
C5H7O3(49)rs0,2,0,"AMChI=1/C5H7O3/c6-8-4-1-3-5(7-3)2-4/h4-6H,1-2H2/t4-,5+/m0/s1",C5H7O3(49),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2",OOC1CC2O[C]2C1
C5H7O3(49)rs1,2,0,"AMChI=1/C5H7O3/c6-8-4-1-3-5(7-3)2-4/h4-6H,1-2H2/t4-,5+/m1/s1",C5H7O3(49),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2",OOC1CC2O[C]2C1
C5H7O3(49)rr1,2,0,"AMChI=1/C5H7O3/c6-8-4-1-3-5(7-3)2-4/h4-6H,1-2H2/t4-,5-/m1/s1",C5H7O3(49),"InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2",OOC1CC2O[C]2C1
C5H7O(96),2,0,"AMChI=1/C5H7O/c1-3-5(6)4-2/h3-5H,1-2H2",C5H7O(96),"InChI=1S/C5H7O/c1-3-5(6)4-2/h3-5H,1-2H2",[O]C(C=C)C=C
C5H7O(24),2,0,"AMChI=1/C5H7O/c1-3-5(6)4-2/h3H,1-2,4H2",C5H7O(24),"InChI=1S/C5H7O/c1-3-5(6)4-2/h3H,1-2,4H2",O=C(C[CH2])C=C
C5H7O(19),2,0,"AMChI=1/C5H7O/c1-4-5-3-2-6/h3H,1,4-5H2",C5H7O(19),"InChI=1S/C5H7O/c1-2-3-4-5-6/h4H,1-3H2",O=C=CCC[CH2]
C5H7O(32)r0,2,0,"AMChI=1/C5H7O/c6-5-2-1-4-3-5/h1-3,5-6H,4H2/t5-/m0/s1",C5H7O(32),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3-6H,2H2",OC1[CH]CC=C1
C5H7O(32)r1,2,0,"AMChI=1/C5H7O/c6-5-2-1-4-3-5/h1-3,5-6H,4H2/t5-/m1/s1",C5H7O(32),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3-6H,2H2",OC1[CH]CC=C1
S(282)r0,2,0,"AMChI=1/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2/t5-/m0/s1",S(282),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2",OOC1CC(=O)[CH]C1
S(282)r1,2,0,"AMChI=1/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2/t5-/m1/s1",S(282),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2",OOC1CC(=O)[CH]C1
C5H7O3(53)rr0,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m0/s1",C5H7O3(53),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2",OOC1C2O[C]2CC1
C5H7O3(53)rs0,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m0/s1",C5H7O3(53),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2",OOC1C2O[C]2CC1
C5H7O3(53)rs1,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m1/s1",C5H7O3(53),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2",OOC1C2O[C]2CC1
C5H7O3(53)rr1,2,0,"AMChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m1/s1",C5H7O3(53),"InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2",OOC1C2O[C]2CC1
S(232)r0,2,0,"AMChI=1/C5H7O3/c6-4-1-5(8-7)3-2-4/h1,5,7H,2-3H2/t5-/m0/s1",S(232),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3,5,7H,1-2H2",OOC1CCC(=O)[CH]1
S(232)r1,2,0,"AMChI=1/C5H7O3/c6-4-1-5(8-7)3-2-4/h1,5,7H,2-3H2/t5-/m1/s1",S(232),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3,5,7H,1-2H2",OOC1CCC(=O)[CH]1
C5H7O(43),2,0,"AMChI=1/C5H7O/c1-2-6-5-4-3-1/h2H,3-5H2",C5H7O(43),"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h5H,1-2,4H2",O1CCC[C]=C1
C5H7O(154),2,0,"AMChI=1/C5H7O/c1-3-5-4-2-6/h3H,1,4-5H2",C5H7O(154),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2H,1,3-4H2",O=[C]CCC=C
C5H7O(22),2,0,"AMChI=1/C5H7O/c6-5-2-3-1-4-5/h1-2,6H,3-4H2",C5H7O(22),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,4,6H,2-3H2",OC=1C[CH]CC=1
C5H7O(23),2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h1-2,6H,3-4H2",C5H7O(23),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,6H,2,4H2",O[C]1CCC=C1
C5H6O(39),1,0,"AMChI=1/C5H6O/c1-3-6-4-2-5-1/h1-4H,5H2",C5H6O(39),"InChI=1S/C5H6O/c1-2-4-6-5-3-1/h2-5H,1H2",O1C=CCC=C1
S(142)z,2,0,"AMChI=1/C5H7O3/c6-3-1-2-4-5-8-7/h1-3H,4-5H2/b2-1-",S(142),"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,4H,3,5H2",O=CC=CCCO[O]
S(142)e,2,0,"AMChI=1/C5H7O3/c6-3-1-2-4-5-8-7/h1-3H,4-5H2/b2-1+",S(142),"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,4H,3,5H2",O=CC=CCCO[O]
C5H7O(33)r0,2,0,"AMChI=1/C5H7O/c6-5-1-2-3-4-5/h2,5-6H,3-4H2/t5-/m0/s1",C5H7O(33),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,5-6H,2,4H2",OC1CCC=[C]1
C5H7O(33)r1,2,0,"AMChI=1/C5H7O/c6-5-1-2-3-4-5/h2,5-6H,3-4H2/t5-/m1/s1",C5H7O(33),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,5-6H,2,4H2",OC1CCC=[C]1
C5H8O(59)rs,1,0,"AMChI=1/C5H8O/c1-2-4-5(6-4)3-1/h4-5H,1-3H2/t4-,5+",C5H8O(59),"InChI=1S/C5H8O/c1-2-4-5(3-1)6-4/h4-5H,1-3H2",O1C2C1CCC2
S(148)r0,2,0,"AMChI=1/C5H7O3/c6-8-4-1-5(7)3-2-4/h1,5,7H,2-3H2/t5-/m0/s1",S(148),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3-4,6H,1-2H2",OC1CCC(O[O])=C1
S(148)r1,2,0,"AMChI=1/C5H7O3/c6-8-4-1-5(7)3-2-4/h1,5,7H,2-3H2/t5-/m1/s1",S(148),"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3-4,6H,1-2H2",OC1CCC(O[O])=C1
S(168)r0,2,0,"AMChI=1/C5H7O3/c6-1-4(8-7)5-2-3-5/h1,4-5H,2-3H2/t4-/m0/s1",S(168),"InChI=1S/C5H7O3/c6-3-5(8-7)4-1-2-4/h3-5H,1-2H2",O=CC(O[O])C1CC1
S(168)r1,2,0,"AMChI=1/C5H7O3/c6-1-4(8-7)5-2-3-5/h1,4-5H,2-3H2/t4-/m1/s1",S(168),"InChI=1S/C5H7O3/c6-3-5(8-7)4-1-2-4/h3-5H,1-2H2",O=CC(O[O])C1CC1
C2H4(89),1,0,AMChI=1/C2H4/c1-2/h1-2H2,C2H4(89),InChI=1S/C2H4/c1-2/h1-2H2,C=C
C5H7O(141)z,2,0,"AMChI=1/C5H7O/c1-5-4-3-2-6/h3-4H,5H2,1H3/b4-3-",C5H7O(141),"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-4H,2H2,1H3",O=[C]C=CCC
C5H7O(141)e,2,0,"AMChI=1/C5H7O/c1-5-4-3-2-6/h3-4H,5H2,1H3/b4-3+",C5H7O(141),"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-4H,2H2,1H3",O=[C]C=CCC
C5H7O(138)zzz,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2-,4-3-,5-4-",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)zze,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2-,4-3-,5-4+",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)zez,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2-,4-3+,5-4-",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)zee,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2-,4-3+,5-4+",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)ezz,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2+,4-3-,5-4-",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)eze,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2+,4-3-,5-4+",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)eez,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2+,4-3+,5-4-",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C5H7O(138)eee,2,0,"AMChI=1/C5H7O/c1-2-3-4-5-6/h2-5H,1H3/b3-2+,4-3+,5-4+",C5H7O(138),"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-5H,1H3",[O]C=CC=CC
C3H3O(137)z,2,0,AMChI=1/C3H3O/c1-2-3-4/h1-3H/b2-1-,C3H3O(137),InChI=1S/C3H3O/c1-2-3-4/h1-3H,O=CC=[CH]
C3H3O(137)e,2,0,AMChI=1/C3H3O/c1-2-3-4/h1-3H/b2-1+,C3H3O(137),InChI=1S/C3H3O/c1-2-3-4/h1-3H,O=CC=[CH]
C5H6O(136)z,1,0,"AMChI=1/C5H6O/c1-2-3-4-5-6/h2-5H,1H2/b4-3-",C5H6O(136),"InChI=1S/C5H6O/c1-2-3-4-5-6/h2-5H,1H2",O=CC=CC=C
C5H6O(136)e,1,0,"AMChI=1/C5H6O/c1-2-3-4-5-6/h2-5H,1H2/b4-3+",C5H6O(136),"InChI=1S/C5H6O/c1-2-3-4-5-6/h2-5H,1H2",O=CC=CC=C
C3H3O(90),2,0,"AMChI=1/C3H3O/c1-3-2-4-3/h2H,1H2",C3H3O(90),"InChI=1S/C3H3O/c1-3-2-4-3/h2H,1H2",C=C1O[CH]1
