eq,rate
S(2086) = HO(46) + S(1015),"SimpleRate(k=ArrheniusFunction(A=191000000000.0, b=0.63, E=61.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(232) = HO(46) + S(327),"SimpleRate(k=ArrheniusFunction(A=685735300.0, b=1.294, E=30.601, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(232) = HO(46) + S(338),"SimpleRate(k=ArrheniusFunction(A=17503140.0, b=1.49, E=26.44, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(264) = HO(46) + S(563),"SimpleRate(k=ArrheniusFunction(A=6805174.0, b=1.804, E=28.039, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(2709) = HO(46) + S(2706),"SimpleRate(k=ArrheniusFunction(A=17833.67, b=2.53, E=35.026, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(282) = HO(46) + S(320),"SimpleRate(k=ArrheniusFunction(A=276000000.0, b=1.2, E=25.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(282) = HO(46) + S(327),"SimpleRate(k=ArrheniusFunction(A=19000000000.0, b=0.87, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(321) = HO(46) + S(669),"SimpleRate(k=ArrheniusFunction(A=12923920.0, b=1.659, E=39.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(370) = HO(46) + S(369),"SimpleRate(k=ArrheniusFunction(A=20000000000.0, b=0.0, E=100.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(372) = HO(46) + S(897),"SimpleRate(k=ArrheniusFunction(A=4760.0, b=1.7, E=16.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(382) = HO(46) + S(1099),"SimpleRate(k=ArrheniusFunction(A=3473000000000.0, b=0.247, E=9.629, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(382) = HO(46) + S(338),"SimpleRate(k=ArrheniusFunction(A=3797722000.0, b=0.97, E=36.075, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(382) = HO(46) + S(669),"SimpleRate(k=ArrheniusFunction(A=38000000000.0, b=0.87, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(3830) = HO(46) + S(913),"SimpleRate(k=ArrheniusFunction(A=4823001000.0, b=1.003, E=33.933, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(384) = HO(46) + S(2071),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=1.478, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(440) = HO(46) + S(1426),"SimpleRate(k=ArrheniusFunction(A=310705900.0, b=1.406, E=35.987, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(442) = HO(46) + S(1160),"SimpleRate(k=ArrheniusFunction(A=309967.6, b=2.085, E=31.617, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(476) = HO(46) + S(323),"SimpleRate(k=ArrheniusFunction(A=6805174.0, b=1.804, E=28.039, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(478) = HO(46) + S(509),"SimpleRate(k=ArrheniusFunction(A=133911400.0, b=1.48, E=36.447, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(526) = HO(46) + S(585),"SimpleRate(k=ArrheniusFunction(A=26517350000.0, b=0.723, E=46.133, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(526) = HO(46) + S(913),"SimpleRate(k=ArrheniusFunction(A=252000.0, b=1.85, E=21.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(527) = HO(46) + S(2892),"SimpleRate(k=ArrheniusFunction(A=3560000.0, b=1.75, E=25.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(527) = HO(46) + S(585),"SimpleRate(k=ArrheniusFunction(A=4760.0, b=1.7, E=16.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(528) = HO(46) + S(2892),"SimpleRate(k=ArrheniusFunction(A=2116297000.0, b=0.95, E=35.55, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(529) = HO(46) + S(913),"SimpleRate(k=ArrheniusFunction(A=4760.0, b=1.7, E=16.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(531) = HO(46) + S(467),"SimpleRate(k=ArrheniusFunction(A=71767490.0, b=1.489, E=33.12, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(673) = HO(46) + S(669),"SimpleRate(k=ArrheniusFunction(A=12912600000.0, b=0.61, E=26.861, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(714) = HO(46) + S(4231),"SimpleRate(k=ArrheniusFunction(A=3.41068e+22, b=-2.688, E=2.451, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(715) = HO(46) + S(2706),"SimpleRate(k=ArrheniusFunction(A=13571600000000.0, b=-0.081, E=2.677, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(718) = HO(46) + S(607),"SimpleRate(k=ArrheniusFunction(A=34423870.0, b=1.511, E=39.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(793) = HO(46) + S(1519),"SimpleRate(k=ArrheniusFunction(A=1780000.0, b=1.75, E=25.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(8863) = HO(46) + S(625),"SimpleRate(k=ArrheniusFunction(A=423178.4, b=1.77, E=18.65, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(896) = HO(46) + S(897),"SimpleRate(k=ArrheniusFunction(A=22826280000.0, b=0.906, E=40.135, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
