phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),CPT(563),C5H8O(825),C6H6(970),OH(4),C5H8(522)
0.28,1.31012,0.005,0.861071429,0.133928571,247.7063000312167,7467.940506639258,125161.87927530786,857430.6112267674,6.984165504919867,3100.8654169459055,736.530812778565,89.57062718439323,13.265925340844142,708.7765878157569,20.399751041745937,98.97952162207983,17.14472940032728,3.6614573744232666,104.18499354463579,1104.3757760657745,57.79499125236099,0.7430797595671303,0.003293083786709851,628.3688570603126
0.25,1.46734,0.005,0.845,0.15,223.06598510930442,7433.66599845272,141294.01371442043,841565.4226761897,7.0245631035466305,2960.521547708131,692.2288509197775,79.62495502841847,12.17726626231531,650.3556530643297,18.50747257829015,92.87308698700163,16.750949254791607,3.279680794872269,105.9739304990693,1105.856505715846,58.70987606112016,0.6670426287557305,0.003288012570923578,636.4249437966519
0.23,1.59493,0.005,0.831956522,0.163043478,206.43321837548524,7406.405945678992,154380.00226751386,828671.3759175517,7.050245014645352,2861.0305771799904,659.953930526112,72.89143285454006,11.4428708486791,609.5664743595271,17.23921392899489,88.70507639973212,16.47212088253762,3.028511784943958,107.19091801512744,1107.2240045175379,59.33829167698537,0.6152015866413971,0.0032831156297854214,641.9333664550318
0.2,1.83417,0.005,0.8075,0.1875,181.1694621687513,7357.584303562714,178901.86470798103,804461.2085730562,7.086906495499894,2701.6976711298526,607.0992015971099,62.63773393630338,10.324246766496337,545.4450295399554,15.325280636719775,82.27833488838738,16.02736771351065,2.6553319726653437,109.04151016677004,1109.9787675566004,60.31215651435682,0.5355084133195446,0.0032729669593369254,650.3864586759122
0.19,1.93071,0.005,0.797631579,0.197368421,172.6632872957212,7338.8616927532885,188791.96693350485,794682.0076377367,7.098664849031063,2645.6113425520984,588.2291944472823,59.180340995783595,9.945777342890093,523.2533793730828,14.683840965922133,80.08184465156418,15.871353722744656,2.5314607292308353,109.66096730453773,1111.1184121953288,60.645826885420476,0.5083889234937314,0.003268702344272277,653.2464176728481
0.17,2.15785,0.005,0.774411765,0.220588235,155.52244456916307,7297.112896342733,212053.703369147,771653.7249097417,7.121620202463718,2528.484654815007,548.5149609082326,52.21119715250546,9.178462713003096,477.5949789498431,13.395012392482272,75.59259655614444,15.545922436935498,2.283589183778822,110.89324356242034,1113.7926747942136,61.327644121905315,0.4532662856629726,0.0032586008042638226,659.0032548252232
0.15,2.44557,0.005,0.745,0.25,138.20993887676389,7248.7214075026495,241503.04983703035,742454.8437313614,7.144137715541104,2404.1212150096403,506.0754230199143,45.18011130723567,8.394534949874865,430.19115772141214,12.097127569377971,70.95302418966092,15.19921557134649,2.03412779500351,112.09629913271249,1117.080569642431,62.02911751918076,0.39693233105653974,0.0032460564655843126,664.7516037088309
0.13,2.75147,0.005,0.706538462,0.288461538,120.72695259125403,7192.277970592166,279993.0488436919,704234.3455468339,7.166913745615772,2271.659125895732,460.83239566721915,38.10873223260415,7.589879033082622,381.00513564069786,10.78841000792346,66.12835975438577,14.824328739272854,1.7807987255893996,113.22874584903767,1121.1100987909226,62.748966258014846,0.33939802244204276,0.0032305557275411085,670.3655298769824
0.11,3.33486,0.005,0.654090909,0.340909091,103.07750740141188,7125.778596479841,332451.23430210876,652067.069330093,7.191331772531695,2130.0998247356583,412.7810757933496,31.035509671524977,6.759236648296048,330.03676416530635,9.46638341060506,61.069320354168426,14.408466687973148,1.5204732935790666,114.21299387655995,1126.0480177263648,63.48172952993902,0.2807813235039308,0.0032114165876082684,675.5971578520594
0.1,3.66835,0.005,0.62,0.375,94.192807163998,7087.845047780045,366536.0192709074,618136.636744451,7.204942276008277,2055.5522683837903,387.7375085100482,27.517711560319515,6.332120806838184,303.9021903041935,8.799326733827654,58.43023984971099,14.178182919665113,1.3864245738254182,114.60634968624308,1128.9282656780226,63.84897057872888,0.2511558827357074,0.0032001857934677315,677.928896642232
