phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
0.6,0.61116,0.005,0.9325,0.0625,566.0514587513527,50.53094030065941,1133.5240951395942,53510.02357389014,927506.2174181675,484.4604723904852,7442.223164335246,4048.9670363003415,967.0234473089043,179.42360119031503,24.122723776094134,1141.951986002047,38.084559649652945,152.76515920564603,19.28487789302401,7.645031718570086,89.0530611326901,1.412244584493428,6.403177036655779,0.0031690481266939364
0.55,0.66697,0.005,0.926818182,0.068181818,576.1555051519218,51.72308262863817,1130.3889833171902,59215.795431805025,921995.1741191811,449.5834116759189,7451.997153253336,3922.4276255835744,947.4946819303096,165.80025676198355,22.408635246190883,1084.0567916835444,35.17230498714052,144.34827431551736,19.02694877455523,6.874031632206,91.1700823209578,1.3066368951965193,6.493927643386509,0.0031822593818999715
0.5,0.73349,0.005,0.92,0.075,586.7466497624889,52.96047927285845,1127.8418307822842,66068.8196680631,915363.5850288606,413.7455322359348,7455.350556820741,3784.1465051350788,922.1465850144277,151.8167372744068,20.678287498071615,1021.7876359672628,32.24836399853314,135.7371091569957,18.72390790165762,6.120016460546675,93.42464830668372,1.1999041002957975,6.581997204778889,0.0031933025933803803
0.45,0.81519,0.005,0.911666667,0.083333333,597.830363232511,54.24334040655254,1125.8744051595647,74448.40174778392,907234.7617733416,376.9800934471809,7451.660024743885,3633.124923015662,890.2389798967579,137.47716597449102,18.93282270835873,954.6995845718099,29.312185396981608,126.92035064269932,18.369551935890684,5.383813665641358,95.81923055352614,1.0917741217154853,6.667095554739642,0.0032021919598300397
0.4,0.91709,0.005,0.90125,0.09375,609.4166274594493,55.57243876557506,1124.5025636950472,84923.25613063945,897043.4567373819,339.3096174573364,7440.0144561675115,3467.983792137419,850.8902736570758,122.78041628743802,17.172046057011222,882.2708607255377,26.36297199298657,117.88080298616576,17.95788786802737,4.666536397088898,98.35627398076561,0.9818787174394306,6.748864623239153,0.0032088579802090353
0.35,1.0482,0.005,0.887857143,0.107142857,621.5210958651686,56.94958230962603,1123.780505189962,98386.65812424934,883901.0352701736,300.7437056206954,7419.073899574294,3286.815656084942,803.0405101734882,107.71897232070633,15.393855492306335,803.8873092855194,23.39948706851541,108.59201729568677,17.48339618620122,3.969626394626699,101.03787437288953,0.8697224950057124,6.826866689272374,0.003213089934140392
0.31,1.18334,0.005,0.874032258,0.120967742,631.5914839220196,58.088201328961524,1123.7456697846276,112276.88839189202,870298.6911533021,269.2430785412464,7394.319999531436,3128.592635604109,757.7871174159103,95.39761180296523,13.955573385128284,736.4104742031212,21.01710697089291,100.9544904472217,17.055284449700153,3.4279592719290566,103.28772956283674,0.7779297627936022,6.886214211292754,0.003214434815250621
0.28,1.31012,0.005,0.861071429,0.133928571,639.3764101249807,58.96557269755538,1124.099905806131,125291.61621071066,857520.7204764714,245.2332627826248,7370.163873322837,3001.015244125201,719.2785330943857,85.99110156554407,12.86492830067945,682.7434518898477,19.22255108467866,95.0859776373098,16.704415075407574,3.031664138783919,105.03513330460888,0.7075980202532269,6.92876484340071,0.0032140074803615627
0.25,1.46734,0.005,0.845,0.15,647.3611378723085,59.86493156355614,1124.8498855005075,141420.46863674055,841648.9375584294,220.8862190751096,7340.310975008401,2864.7352469821976,676.4448821940467,76.43741263878003,11.761021476192631,626.2320583941506,17.420275528135576,89.07681327557167,16.326890975069816,2.644469643912029,106.8312327848783,0.6357446580306579,6.969529855029688,0.003212079187969299
0.23,1.59493,0.005,0.831956522,0.163043478,652.7914159996326,60.477778074945,1125.6124736479176,154503.5711082135,828749.819265034,204.46293473169047,7316.720364404656,2768.4659902941694,645.2863420937493,69.98453224587487,11.015839259974602,586.870434753341,16.21382746084336,84.98034781372472,16.059725215132,2.3916717296718137,108.0528373231901,0.5868696593644935,6.995695706859372,0.0032097933531781077
