phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825)rs,C6H6(970)
0.6,0.61116,0.005,0.9325,0.0625,484.5426155207262,0.0031718006237922407,7445.560314413241,53506.4914455706,927503.7767077028,6.404475223385468,4051.4471671123306,967.7731696836779,179.44704668441193,24.129379459705298,1142.4204162004914,38.10842926147637,152.69112390327138,19.273286027467496,7.643401928448832,89.0292925631945,565.7846443688355,1132.8768485533597,50.48234506599536,1.4136596370274752
0.55,0.66697,0.005,0.926818182,0.068181818,449.66720630344275,0.0031851210237156874,7455.444941642079,59212.11970787436,921992.7071757847,6.495280911881067,3924.9614699045305,948.2641055348265,165.82606197356486,22.41600948416992,1084.5157048193055,35.194853794162775,144.27895872170842,19.01575382421357,6.872672866866475,91.1441344285804,575.8723665805084,1129.7189336231013,51.67182393494375,1.3080469572678224
0.5,0.73349,0.005,0.92,0.075,413.83008609035534,0.003196278308270426,7458.909810938259,66064.99875957328,915361.1020521537,6.583407780779817,3786.727293059872,922.932446188573,151.84454778227985,20.686313487513235,1022.2355913064706,32.26953557703631,135.6728269731474,18.713261620057654,6.118938410575817,93.39628169182531,586.4458708879946,1127.147347520367,52.90636518787702,1.201301386099354
0.45,0.81519,0.005,0.911666667,0.083333333,377.06437990840186,0.003205287651821146,7455.3310079736275,74444.43476774066,907232.275915766,6.668565783090536,3635.7437007290782,891.0370070087755,137.50654728848534,18.941421790059024,955.1347994406219,29.33192319824682,126.86143468264562,18.359621652814305,5.383020836572687,95.78817169215094,597.5104435775185,1125.1535691913075,54.18615561837668,1.0931490243248243
0.4,0.91709,0.005,0.90125,0.09375,339.3924520522777,0.0032120807309293244,7443.7965441891,84919.14319804481,897040.9852196194,6.750396962930413,3470.6285629326126,851.6949050337649,122.81083837639491,17.18112470630102,882.6911265778463,26.381219117050822,117.82760865362621,17.948853662296163,4.666026074867201,98.32220814044621,609.075838823693,1123.7530843738418,55.51193860728362,0.9832193262763445
0.35,1.0482,0.005,0.887857143,0.107142857,300.82371762802296,0.0032164482431367406,7422.965074768152,98382.40076172218,883898.6010612025,6.828463709681002,3289.470105342626,803.8445205840184,107.74978980733016,15.403301270850942,804.2898921411423,23.416185744089333,108.54492705813976,17.475445040480267,3.969386205487722,101.00043571870383,621.1574224684302,1122.9996007872965,56.8854841265743,0.8710139120241919
0.31,1.18334,0.005,0.874032258,0.120967742,269.3196985480356,0.0032179088294079262,7398.2955549966455,112272.51782410571,870296.3088364357,6.887864915556706,3131.2389665915375,758.5840004164136,95.4281871105072,13.965215683308216,736.7965176041539,21.03252397964633,100.91258053165416,17.04833232158338,3.427917999129076,103.24728575879377,631.2078042465558,1122.937179587425,58.02098759729974,0.779168465511493
0.28,1.31012,0.005,0.861071429,0.133928571,245.30659216858814,0.0032175731828062207,7374.199974362631,125287.16284479438,857518.3938186151,6.930457020253165,3003.6433818019386,720.0653163540459,86.0211132289572,12.874651034188911,683.115450271536,19.236980504762155,95.04813878316489,16.6982836025554,3.0317570183837073,104.99222879328396,638.9765770060918,1123.2690027004974,58.89586184121641,0.7087876788567401
0.25,1.46734,0.005,0.845,0.15,220.95554815768082,0.0032157413640855176,7344.404213915025,141415.9348180965,841646.6847696166,6.971264663724562,2867.332056011927,677.2167340154871,76.46648566161356,11.770758056333376,626.5884153248358,17.43369308207242,89.04321473023305,16.3216323010351,2.6446796659325225,106.78566464527975,646.9440223308012,1123.99480802873,59.79256528244976,0.6368755484684164
0.23,1.59493,0.005,0.831956522,0.163043478,204.52916784645387,0.003213522814717515,7320.84918221104,154498.9851399813,828747.6281355891,6.9974596923849814,2771.0330339312163,646.0451748829628,70.0127468900931,11.025543088322177,587.2153914973193,16.22655573346754,84.94967484232893,16.05507084971522,2.391948389901528,108.00536626370226,652.362071096459,1124.7401365184708,60.40354179110026,0.5879551044465888
0.2,1.83417,0.005,0.8075,0.1875,179.5928606877737,0.0032083672059571664,7278.963333634452,179015.1042371598,804528.7960862147,7.035306121372545,2617.3905076955375,595.0590272967327,60.20532629091691,9.889970892238743,525.45295370123,14.40713914203814,78.64933808100781,15.630302299098851,2.0212795781917126,109.861948582614,660.6283517229155,1126.334826806473,61.341428096781016,0.5128918037747349
0.19,1.93071,0.005,0.797631579,0.197368421,171.19985390531502,0.003206078946803932,7263.001480480337,188902.8560995456,794746.3635622399,7.04758100466586,2563.4785848561096,576.8706667774335,56.902994066830175,9.505738790529412,504.10979258964494,13.798016841808836,76.50020264700251,15.481475455978963,1.9000685521121683,110.48474062542498,663.4120943294081,1127.0143283293173,61.660039160501114,0.4873772274993276
0.17,2.15785,0.005,0.774411765,0.220588235,154.28983895338558,0.0032005013679792136,7227.614716668831,212159.07137861158,771711.0378112692,7.071765264859237,2451.1878785527665,538.609782051646,50.25150666967208,8.726895663346118,460.23835187613207,12.575189706979087,72.11627003026673,15.171457726403318,1.6613285697641091,111.7277541113466,668.9968700344233,1128.6318945428225,62.30632852850761,0.43554289113370576
0.15,2.44557,0.005,0.745,0.25,137.21194910107178,0.003193402807051647,7186.97469102733,241601.52755816368,742504.2545092567,7.095780478541247,2332.4160066146787,497.74494629528294,43.544906226773215,7.931713677664728,414.7339894998137,11.345416797211383,67.60066698973422,14.842014080665697,1.4277150561419047,112.95081746352244,674.5521673001697,1130.6398896006096,62.963953707635895,0.38257553459380245
0.13,2.75147,0.005,0.706538462,0.288461538,119.96430075394163,0.003184546107428222,7140.149787056811,280082.7578192966,704274.87425562,7.1203161292012975,2206.479354338956,454.199985034545,36.799479349117966,7.116595343343664,367.545614670841,10.10748397136248,62.92648769394614,14.48714664623169,1.1995578446814898,114.12008528213676,679.9660322323624,1133.0941742466027,63.62997157604177,0.3284385462125817
0.11,3.33486,0.005,0.654090909,0.340909091,102.54780398777812,0.003173706376685667,7085.944281020453,332529.3782371882,652097.599824904,7.146715031615455,2072.666676905217,407.9773004863695,30.04619057663713,6.277211539474057,318.6511969215686,8.85987418462193,58.05695167696689,14.095693475645424,0.9773369575039571,115.17157928734117,685.0216849816915,1136.0413077417081,64.29661087082597,0.27317796299943253
0.1,3.66835,0.005,0.62,0.375,93.77799671233646,0.0031674873935751665,7055.590928916829,366606.809689112,618161.7132540236,7.161370176434875,2002.5986807499273,383.90387948106394,26.68308072284866,5.846890540735539,293.5728947717816,8.231857159911929,55.53334651587291,13.880146841000807,0.8686799163655438,115.61734588908605,687.2933243867518,1137.7067609698927,64.62512001918215,0.24518402188297514
