phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825)rs,C6H6(970)
0.6,0.61116,0.005,0.9325,0.0625,484.45452988977326,0.003168965547774448,7442.125439760217,53510.05127753483,927506.211347203,6.403179252663875,4048.9121714189287,967.102284919121,179.432559078358,24.123453302349084,1142.010199365154,38.08526629103736,152.7662383671251,19.284648817214922,7.6451521661094235,89.05425287454696,566.0596931067539,1133.545061741171,50.531707699515344,1.4122865129081417
0.55,0.66697,0.005,0.926818182,0.068181818,449.5779076882278,0.0031821698785227956,7451.890787573969,59215.82659781355,921995.1676752928,6.493930825182017,3922.3677795315925,947.579578257786,165.8093378736512,22.40942837003614,1084.1199867997318,35.17303016749217,144.34932641213422,19.026712010801408,6.874142103748441,91.171314220433,576.1644343758448,1130.4115613305382,51.72395817957491,1.3066789362125115
0.5,0.73349,0.005,0.92,0.075,413.74055706179695,0.003193205315512447,7455.234544152362,66068.85453495807,915363.5780219634,6.582001575843862,3784.081276333475,922.2383613262425,151.82594546915854,20.679152576321044,1021.8564339480605,32.24910827021236,135.7381361801343,18.723658242327403,6.120117227581282,93.42591744027906,586.7563663085904,1127.8662385644004,52.96148097942212,1.1999464468375378
0.45,0.81519,0.005,0.911666667,0.083333333,376.9757480702495,0.0032020859230000405,7451.533242085573,74448.44044681363,907234.7539209401,6.667101464648913,3633.0539249580006,890.3386625874089,137.4865049614302,18.93377025689077,954.7747329550673,29.31294907434049,126.92135577324913,18.369281956620323,5.383904928372824,95.82053242115737,597.8409762726662,1125.9008975337222,54.244490069491015,1.091817033579607
0.4,0.91709,0.005,0.90125,0.09375,339.3060126333465,0.0032087420390996863,7439.875648609515,84923.29861140312,897043.447635546,6.748872612614672,3467.9066734430144,850.9991667190503,122.78988838469816,17.17308960297575,882.3532712263604,26.363754989042082,117.88179103961285,17.957586845699936,4.666618235424557,98.35760227286382,609.4282670788533,1124.5314408358372,55.57376308148541,0.9819225440845581
0.35,1.0482,0.005,0.887857143,0.107142857,300.7409590260185,0.003212962753689171,7418.921663713664,98386.70403523014,883901.0243600708,6.826877592195793,3286.7321276120297,803.1603019180185,107.728575914206,15.395012932457877,803.9781116279662,23.400288657493395,108.592995580165,17.483048340502577,3.96969870420013,101.03922089773354,621.533918373409,1123.8121240392886,56.951114393992235,0.8697677056102683
0.31,1.18334,0.005,0.874032258,0.120967742,269.24110365206326,0.00321429753650949,7394.155892629802,112276.9364764577,870298.6782739424,6.886228346057462,3128.5038307318896,757.9171998202952,95.407313660918,13.956839170805939,736.5090000666551,21.01792226602686,100.95546893660287,17.054882544455783,3.4280237097143655,103.28908378467884,631.6053871763675,1123.7797865416708,58.089929159076185,0.7779765231099932
0.28,1.31012,0.005,0.861071429,0.133928571,245.23191272092467,0.0032138619021365327,7369.990130205402,125291.66535802955,857520.7057577106,6.9287821483210905,3000.9224279990376,719.4174922735679,86.00086756638025,12.866288585816172,682.8484908980594,19.22337552111131,95.08696325243585,16.703958983216914,3.0317224151771365,105.03648922789004,639.391215680018,1124.136103006225,58.96746825992052,0.707646265290013
0.25,1.46734,0.005,0.845,0.15,220.88552612160086,0.003211924626344945,7340.126890425364,141420.51812912367,841648.9206686735,6.9695511927083595,2864.638384499515,676.5939427079463,76.44722754882035,11.76249091171804,626.3443527616605,17.42110769620396,89.07781472485557,16.32636482144137,2.6445214413490574,106.83258763403879,647.3769359628956,1124.888366734025,59.867016210497304,0.6357947147480139
0.23,1.59493,0.005,0.831956522,0.163043478,204.4626917342814,0.0032096323923305773,7316.52893956056,154503.62030416657,828749.8007558143,6.995720342969634,2768.3663992369097,645.4429486186483,69.9943662617323,11.017391628744729,586.9880498220097,16.214663764148863,84.9813665578225,16.059140931451985,2.3917189830098424,108.05419080805432,652.8079321930303,1125.6526052640886,60.48000255563866,0.5869211269125243
0.2,1.83417,0.005,0.8075,0.1875,179.53240817644706,0.003204360524514175,7274.582863425096,179019.81395170043,804530.850351011,7.0335276451167426,2614.780657678471,594.4943298285177,60.18861986777562,9.882084548598254,525.2531339527218,14.39631026317263,78.67652695216167,15.633337193282937,2.020963354241202,109.91384620178722,661.0949475403468,1127.2779256281988,61.42110038311746,0.5119394213921187
0.19,1.93071,0.005,0.797631579,0.197368421,171.1416055729747,0.003202031805280151,7258.60228264884,188907.58986419547,794748.3709518957,7.045789341445762,2560.8927003821045,576.3204464468412,56.886946720302454,9.497968541625687,503.9198508278625,13.787549178288693,76.52585314362449,15.48415680264239,1.8997293458672275,110.53772964307385,663.8859946521201,1127.9683350788325,61.74084113254564,0.4864554327808446
0.17,2.15785,0.005,0.774411765,0.220588235,154.23630519773627,0.003196370359648867,7223.180469839167,212163.85243251352,771712.9380552464,7.069946796999309,2448.658724906327,538.0917503735978,50.23693594658646,8.719405252793944,460.069300648416,12.565456317973204,72.1387888538369,15.1734244489639,1.66095327616038,111.78304285742914,669.4860522602758,1129.6089515210836,62.38949148138867,0.43468798725695745
0.15,2.44557,0.005,0.745,0.25,137.1635497196404,0.0031891833197662295,7182.508994680495,241606.35591651726,742506.0264193831,7.09393413402691,2329.9569074772353,497.26370599056,43.53202783117036,7.924575014172128,414.5874193899286,11.3364359770375,67.61998435348575,14.843263895304961,1.4273178379299325,113.00858719498032,675.0576571136689,1131.6419353969086,63.049632127021056,0.3817959154247109
0.13,2.75147,0.005,0.706538462,0.288461538,119.92146696399759,0.003180232168546816,7135.6565128910215,280087.6362426851,704276.4913008192,7.118439695841058,2204.105730697042,453.76039718363796,36.78850730439698,7.10989266436667,367.42318282168833,10.099278187006954,62.9425413751185,14.487689540379069,1.1991539375307128,114.18056014928798,680.4890765931167,1134.1236548134725,63.71835106697947,0.3277435700984887
0.11,3.33486,0.005,0.654090909,0.340909091,102.51097525206721,0.0031692894229663825,7081.426941814338,332534.315541845,652099.0275612873,7.144803946777963,2070.3961183637907,407.58424137450396,30.03732265370222,6.271044746469485,318.55456148878,8.852471999279265,58.069692816378954,14.095556746329674,0.9769424515696293,115.23505042907776,685.5638929440292,1137.1015007873752,64.38792490052177,0.2725778907585454
0.1,3.66835,0.005,0.62,0.375,93.74433712943208,0.003163014237608688,7051.062349963042,366611.7834913629,618163.0296792139,7.15943866518764,2000.3868506377623,383.5357779349481,26.67532691708604,5.841035184277411,293.48974363264153,8.224870132009396,55.54441933478907,13.879688058566023,0.8682963242870103,115.68245654073652,687.8459040401693,1138.7839693928856,64.71801229337565,0.24463545651847884
