temperature,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
630,0.591365183699664,0.023042150158870678,4999.254936640047,37499.093300882465,957499.8425290934,0.0006556360764867812,0.3181757733340284,0.09569928654045093,0.010468246571775992,0.0003480390962341295,0.00012932171796466505,0.0457056538328023,7.76388827560248e-6,0.0020643427602333297,0.00009344225974558308,0.00003353153089892202,0.000014267085066882369,1.371016119787696e-16,0.04419450669349879,8.016380350301232e-8
640,0.5462840715848295,0.020704665326830404,4999.340816264324,37499.22630802707,957499.8930683348,0.0006328353130216336,0.2242912109727088,0.06365161072241181,0.008463646009369512,0.0003989663696727903,0.00006578985864484476,0.03215124430095883,8.799573439198549e-6,0.0014725282067990656,0.00011392397647257252,0.000021214945904953252,0.000011749825073670046,1.8654669878004426e-16,0.03662193390416648,5.595554971284133e-8
650,0.5276390335026375,0.019398203065312473,4999.384377555745,37499.30029518704,957499.9241246912,0.0006211972539546434,0.16677538534040434,0.04403442766095697,0.006939250524789591,0.0004412838837727983,0.000036701308971553,0.02364921740523831,0.000011883099915072333,0.0011581365748679505,0.00014131322886608,0.000014166678605826283,0.000010775412793951139,3.2891821268283045e-16,0.03091834818917069,4.120333483502325e-8
660,0.528715834410588,0.018803472531990065,4999.39873654189,37499.3353399687,957499.943587875,0.0006327886878617219,0.13108228189652932,0.03155582787444117,0.0057617841748056646,0.00047396799554832547,0.00002273176362936638,0.018167022504099368,0.000017969131419384788,0.001035190766238348,0.0001776194023678424,9.973047765578017e-6,0.000010887655041105385,6.743694068018622e-16,0.026634876823376723,3.2074697217486635e-8
670,0.5553243857924957,0.019056339602573896,4999.380456269784,37499.33122122458,957499.9548320277,0.0006999662903633218,0.1114285553790802,0.023765309382925138,0.004923125044493274,0.0005070845524305671,0.000016152829804885836,0.014871921954212226,0.000029290395692331442,0.0010919811787605028,0.00022926204579219,7.637832465567598e-6,0.000012445078892764934,1.5330463973268498e-15,0.023789285568619492,2.7007255915588178e-8
680,0.631858961013911,0.020874213907494044,4999.304864997621,37499.264949925986,957499.9586209918,0.0008983444985337563,0.10759607479352636,0.019548440089731816,0.00449661618625518,0.0005689271292268126,0.000013795205488721836,0.013611990557170486,0.0000519356781395354,0.0014053367743206673,0.000314856278355054,6.852691760913154e-6,0.000017174784713420323,4.017959124605996e-15,0.022841693513140464,2.583396392934119e-8
690,0.8192587321436298,0.026012070322745287,4999.10757109421,37499.073855673916,957499.9526670045,0.0014306319272894932,0.12646773843979145,0.01862306370770507,0.004639739674175727,0.0007177339274888265,0.000014848549388462668,0.014963032490170591,0.00010512166246920399,0.0022729505507313803,0.0004849968259169037,8.01059790108796e-6,0.00003105493687865405,1.3458721405072382e-14,0.024837481000539726,3.0083424940701737e-8
700,1.256610452546298,0.03832182984925919,4998.640119525613,37498.614449081346,957499.9276105216,0.0029125230942880134,0.1908983778178186,0.02156730817509428,0.005639843722552333,0.0010655952803270427,0.000020584209711996746,0.020993791138423198,0.0002529791106194145,0.00466206604287334,0.0008715359142194937,0.000013160817492172371,0.00007670132446493633,6.272827821935894e-14,0.03175247315440961,4.4992439560225806e-8
710,2.256747313939259,0.0661973532783541,4997.566857867149,37497.56933477106,957499.8531189034,0.007326276722037289,0.36834638396870556,0.030493678278395258,0.008031719677778722,0.0018280001834737943,0.000035795651022785586,0.03781930472009371,0.0007114749063683582,0.011613227357551575,0.0018115968036713232,0.000029690693700983123,0.00024918198022516293,3.996868511998185e-13,0.0471737186482209,8.602207330346325e-8
720,4.52421391951521,0.12834471058468688,4995.127118078644,37495.24179863184,957499.6340332995,0.02115964009664462,0.8577756285167238,0.051185475858687754,0.012853595545113143,0.0034200419636927306,0.00007405920554644503,0.0833182870292313,0.00220073385146982,0.0325025325128979,0.004161131092286267,0.00008334782613948068,0.00097775311162406,3.1760650617340915e-12,0.07746090523703282,1.9849450838590413e-7
730,9.652049737150367,0.2682997313407646,4989.583277486202,37490.10285520876,957498.9759965036,0.06568268010988633,2.249409677018376,0.09970965092906907,0.022263149214941845,0.006660582389836212,0.00017685380689202055,0.21043366037862676,0.007093681195633934,0.0957946701593162,0.010096572622327767,0.00026423173597154437,0.004291965489390951,2.9248472037450925e-11,0.13358012167873287,5.157348489582597e-7
740,21.263712064146404,0.594856886967359,4976.9096224091145,37478.76125351762,957496.9810984207,0.21085695543196267,6.295123678008259,0.22489947035893995,0.041512040378355874,0.013337863851869332,0.0005026241285705185,0.5795535363190002,0.023209110561758447,0.2874017911075753,0.02523462572660105,0.0008917871087329269,0.020121065408189413,3.0913866241903444e-10,0.2339747566342442,1.4296269452380917e-6
750,47.58926375554053,1.4055763951129006,4947.628283935947,37453.50730612677,957490.9436502912,0.6895831234490296,18.187222310798546,0.5956585901935233,0.08850100234894823,0.02855675753417118,0.0018648219327275172,1.6964362016647785,0.07682210235540786,0.8685859500603565,0.06457513303839692,0.003125188502939079,0.09822417878324717,3.959910702958331e-9,0.4088504966260655,4.088610014154494e-6
760,106.72442212020272,3.5788758691393197,4879.2262190227375,37395.9991123757,957472.7563428925,2.293652573851745,53.353576305256645,1.9022256740033863,0.26096896403383935,0.07512531360751716,0.009533687421019902,5.2701505757655225,0.25998920526353314,2.64977061986882,0.17084948486619214,0.01134976725055456,0.4873598997519388,6.987658836250772e-8,0.7056499628256255,0.00001186137484885027
770,233.77553904888958,9.693400047377896,4719.1068145667705,37259.04990088595,957418.0187186258,7.754387924386274,157.99524744231917,7.543101836176969,1.291587986214141,0.30536182351204344,0.06105155870121434,17.619276250683512,0.9084574735219159,8.158597926036514,0.47958981763204406,0.043506976827895505,2.346168521090948,2.0819433768875645e-6,1.1926224822505278,0.00003473336322561029
780,470.78152936147114,25.664346939606006,4356.30754718711,36910.081951738626,957253.696556072,26.02245572414534,467.5685950700913,36.6532169749722,8.80238882567733,1.9075187819823467,0.4086774594749719,62.773480422086976,3.1777104609373006,24.41531687004943,1.4696393633737004,0.1833554649537035,9.982655579338042,0.00009831567245982929,1.9456831948639999,0.00010254748184412756
790,765.1698605594103,54.07447103314178,3647.723236537386,36018.03701746753,956792.520480547,79.17346624360339,1293.1932991180483,188.56216711988677,53.8972595049199,12.214814412662895,2.302608606077243,211.61787404117825,9.781970256479251,62.8380767707213,4.576555221124991,0.8283251138364311,31.491540525185734,0.003985921330245544,2.9627787748347165,0.00029569578590869355
800,874.7018080589439,72.2876063216501,2699.581658310774,34267.15277686701,955803.4732456243,188.34984597166854,2843.2198136460875,749.5264094498558,203.5626234462024,49.34908773181451,8.370610797283149,530.5817659423489,22.150500509349808,118.88145998606194,10.969426610844268,2.9663938573877675,59.944160187786245,0.06649641047193187,4.01628649898606,0.0007428678477118939
810,753.1271295983132,65.44205386554023,1882.9564910849713,31991.863746578358,954340.5202793175,345.4990147167755,4725.9752787143625,1948.4362181889328,454.61692120931576,116.18378883548735,18.480666846640688,917.9187358952643,36.750777425255954,167.01820678480826,17.666847698690518,6.779648614964215,73.00089613562169,0.3926895759431521,4.892711306374495,0.0015076667986832506
820,572.0037518934917,49.328558746394194,1324.5827400761339,29684.493850421008,952629.7727450079,540.0963867751976,6552.196477678447,3667.634006872078,733.4341617712917,197.90862598202236,29.169398868764336,1239.3012751069552,50.35665884345604,197.04114000443963,21.569355929649394,11.056467140352224,70.7114351974975,1.1676169240688365,5.595350072118661,0.0025724985834069463
