name,mult,charge,chi,smi
S(765),1,0,"InChI=1S/C4H6O2/c5-3-1-2-4(3)6/h3,5H,1-2H2",OC1CCC1=O
S(361),2,0,"InChI=1S/C5H7O2/c6-5-3-1-2-4-7-5/h3H,1-2,4H2",[O]C=1OCCCC=1
S(357),2,0,"InChI=1S/C5H7O2/c1-3-5(6)7-4-2/h4H,1-3H2",O=C(C[CH2])OC=C
S(816),2,0,"InChI=1S/C5H7O2/c1-4-2-3-5(6)7-4/h4H,1-3H2",O=C1CCC(O1)[CH2]
C5H7O(96),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",O=C1C[CH]CC1
C5H7O(833),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2H,1,3-4H2",O=[C]CCC=C
C2H5O(259),2,0,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",OC[CH2]
C2H5(112),2,0,"InChI=1S/C2H5/c1-2/h1H2,2H3",C[CH2]
CCO(839),1,0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",OCC
CC(864),1,0,InChI=1S/C2H6/c1-2/h1-2H3,CC
S(183),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,4,6H,1,3H2",OC=CCC[C]=O
S(750),2,0,"InChI=1S/C5H7O2/c6-3-4-1-2-5(4)7/h3-4,6H,1-2H2",O[CH]C1CCC1=O
S(682),2,0,"InChI=1S/C5H7O2/c1-2-3-5-4-6-7-5/h3-4H,2H2,1H3",CC[CH]C1=COO1
S(400),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h3-4H,2H2,1H3",O=C(C=O)[CH]CC
S(442),2,0,"InChI=1S/C5H7O2/c1-3-4-5(2)7-6/h3H,1-2,4H2",[O]OC(CC=C)=C
S(922),2,0,"InChI=1S/C5H7O2/c1-3-4-5(2)6-7-5/h3H,1-2,4H2",[CH2]C1(CC=C)OO1
S(829),2,0,"InChI=1S/C5H7O2/c1-4-2-3-5(6)7-4/h3-4H,2H2,1H3",[O]C=1OC(CC=1)C
S(105),2,0,"InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h3-4,6H,1-2H2",OC1CCC(=C1)[O]
S(944),2,0,"InChI=1S/C5H7O2/c6-4-1-2-5(7)3-4/h1,3,5-7H,2H2",OC1CC=C(O)[CH]1
S(954),1,0,"InChI=1S/C5H8O2/c6-4-1-2-5(7)3-4/h3-4,6-7H,1-2H2",OC1CCC(O)=C1
S(287),2,0,"InChI=1S/C3H3O2/c1-3-2-4-5-3/h2H,1H2",[CH2]C1=COO1
S(398),2,0,"InChI=1S/C3H3O2/c1-3(5)2-4/h2H,1H2",[O]C(=C)C=O
S(477),1,0,"InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2",OC(=C)C=O
S(978),1,0,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",O=C(C)C=O
S(976),2,0,"InChI=1S/C3H3O2/c1-2-3(4)5-2/h3H,1H2",[O]C1C(O1)=C
S(972),2,0,"InChI=1S/C3H3O2/c4-1-3-2-5-3/h1H,2H2",[O]C=C1CO1
C2H2O(339),1,0,InChI=1S/C2H2O/c1-2-3/h1H2,O=C=C
CHO(446),2,0,InChI=1S/CHO/c1-2/h1H,O=[CH]
S(1045),1,0,"InChI=1S/C4H4O/c1-2-3-4-5/h3-4H,1H2",O=CC=C=C
S(1044),1,0,"InChI=1S/C4H4O/c1-2-3-4-5/h1,4H,3H2",O=CCC#C
S(1043),1,0,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",OC=O
S(835),1,0,"InChI=1S/C5H8O2/c6-4-1-2-5(7)3-4/h4,6H,1-3H2",OC1CCC(=O)C1
S(358),1,0,"InChI=1S/C5H6O2/c6-5-3-1-2-4-7-5/h2,4H,1,3H2",O=C1CCC=CO1
C5H7O(97),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-3,5-6H,4H2",OC1CC=C[CH]1
S(1106),1,0,"InChI=1S/C5H8O2/c6-4-1-2-5(7)3-4/h1-2,4-7H,3H2",OC1CC(O)C=C1
S(1105),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h1-2,4-7H,3H2",OC1C(C=CC1)O
S(182),2,0,"InChI=1S/C5H7O2/c1-3-5(7)4(2)6/h3,5,7H,1-2H2",OC(C(=O)[CH2])C=C
S(1124),2,0,"InChI=1S/C5H7O2/c1-3-2-4(6)5(3)7/h3,5,7H,1-2H2",OC1C([CH2])CC1=O
C3H5O(340),2,0,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2",O=CC[CH2]
