name,mult,charge,chi,orig_name,orig_chi,orig_smi
C5H8O(99)rsr1,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4+,5-/m1/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
C5H8O(99)rrr1,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4-,5-/m1/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
O(92),1,0,AMChI=1/H2O/h1H2,O(92),InChI=1S/H2O/h1H2,O
C5H8O(90),1,0,"AMChI=1/C5H8O/c6-5-3-1-2-4-5/h1-2,5-6H,3-4H2",C5H8O(90),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-2,5-6H,3-4H2",OC1CC=CC1
C5H8O(89)r0,1,0,"AMChI=1/C5H8O/c6-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m0/s1",C5H8O(89),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(89)r1,1,0,"AMChI=1/C5H8O/c6-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m1/s1",C5H8O(89),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
C5H8O(88),1,0,"AMChI=1/C5H8O/c6-5-1-2-3-4-5/h1,6H,2-4H2",C5H8O(88),"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h3,6H,1-2,4H2",OC1=CCCC1
C5H8O2(45),1,0,"AMChI=1/C5H8O2/c6-7-5-3-1-2-4-5/h1-2,5-6H,3-4H2",C5H8O2(45),"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1-2,5-6H,3-4H2",OOC1CC=CC1
C5H8O2(44)r0,1,0,"AMChI=1/C5H8O2/c6-7-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m0/s1",C5H8O2(44),"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OOC1CCC=C1
C5H8O2(44)r1,1,0,"AMChI=1/C5H8O2/c6-7-5-2-1-3-4-5/h1-2,5-6H,3-4H2/t5-/m1/s1",C5H8O2(44),"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OOC1CCC=C1
C3H3(38),2,0,"AMChI=1/C3H3/c1-3-2/h1H,2H2",C3H3(38),"InChI=1S/C3H3/c1-3-2/h1H,2H2",[CH2]C#C
C2H4(37),1,0,AMChI=1/C2H4/c1-2/h1-2H2,C2H4(37),InChI=1S/C2H4/c1-2/h1-2H2,C=C
S(258),1,0,"AMChI=1/C3H4O2/c1-2-3-5-4/h3-4H,1H2",S(258),"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2",OOC=C=C
S(257),1,0,"AMChI=1/C3H4O2/c1-2-3-5-4/h1,4H,3H2",S(257),"InChI=1S/C3H4O2/c1-2-3-5-4/h1,4H,3H2",OOCC#C
C3H4O(256),1,0,"AMChI=1/C3H4O/c1-2-3-4/h3-4H,1H2",C3H4O(256),"InChI=1S/C3H4O/c1-2-3-4/h3-4H,1H2",OC=C=C
C3H4(254),1,0,AMChI=1/C3H4/c1-3-2/h1-2H2,C3H4(254),InChI=1S/C3H4/c1-3-2/h1-2H2,C=C=C
C#CC(253),1,0,"AMChI=1/C3H4/c1-3-2/h1H,2H3",C#CC(253),"InChI=1S/C3H4/c1-3-2/h1H,2H3",CC#C
S(252),2,0,"AMChI=1/C3H3O2/c1-2-3-5-4/h3H,1H2",S(252),"InChI=1S/C3H3O2/c1-2-3-5-4/h3H,1H2",[O]OC=C=C
S(251),2,0,"AMChI=1/C3H3O2/c1-2-3-5-4/h1H,3H2",S(251),"InChI=1S/C3H3O2/c1-2-3-5-4/h1H,3H2",[O]OCC#C
C5H7O2(25)r0,2,0,"AMChI=1/C5H7O2/c6-7-5-3-1-2-4-5/h1-3,5-6H,4H2/t5-/m0/s1",C5H7O2(25),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1-3,5-6H,4H2",OOC1CC=C[CH]1
C5H7O2(25)r1,2,0,"AMChI=1/C5H7O2/c6-7-5-3-1-2-4-5/h1-3,5-6H,4H2/t5-/m1/s1",C5H7O2(25),"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1-3,5-6H,4H2",OOC1CC=C[CH]1
C5H6O(293)rs0,1,0,"AMChI=1/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2/t4-,5+/m0/s1",C5H6O(293),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2",O1C2C1C=CC2
C5H6O(293)rs1,1,0,"AMChI=1/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2/t4-,5+/m1/s1",C5H6O(293),"InChI=1S/C5H6O/c1-2-4-5(3-1)6-4/h1-2,4-5H,3H2",O1C2C1C=CC2
C5H8O2(46),1,0,"AMChI=1/C5H8O2/c6-7-5-1-2-3-4-5/h1,6H,2-4H2",C5H8O2(46),"InChI=1S/C5H8O2/c6-7-5-3-1-2-4-5/h3,6H,1-2,4H2",OOC=1CCCC=1
C5H7O2(72)r0,2,0,"AMChI=1/C5H7O2/c6-4-2-1-3-5(4)7/h5H,1-3H2/t5-/m0/s1",C5H7O2(72),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h4H,1-3H2",[O]C1CCCC1=O
C5H7O2(72)r1,2,0,"AMChI=1/C5H7O2/c6-4-2-1-3-5(4)7/h5H,1-3H2/t5-/m1/s1",C5H7O2(72),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h4H,1-3H2",[O]C1CCCC1=O
S(188)r0,2,0,"AMChI=1/C5H7O2/c6-4-2-1-3-5(4)7/h1,5,7H,2-3H2/t5-/m0/s1",S(188),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h1,4,6H,2-3H2",OC1C[CH]CC1=O
S(188)r1,2,0,"AMChI=1/C5H7O2/c6-4-2-1-3-5(4)7/h1,5,7H,2-3H2/t5-/m1/s1",S(188),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h1,4,6H,2-3H2",OC1C[CH]CC1=O
S(138),2,0,"AMChI=1/C5H7O2/c1-2-3-4-5-7-6/h1,3,6H,4-5H2",S(138),"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h1,3,6H,4-5H2",OOCC[CH]C#C
S(189)r0,2,0,"AMChI=1/C5H7O2/c6-4-1-2-3-5(4)7/h1,5,7H,2-3H2/t5-/m0/s1",S(189),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,5,7H,1,3H2",OC1CCC=C1[O]
