name,mult,charge,chi,smi
C5H7O(20),2,0,"InChI=1S/C5H7O/c1-3-4-5(2)6/h3H,1-2,4H2",O=C([CH2])CC=C
S(458),2,0,"InChI=1S/C5H7O3/c1-2-7-4-3-5-8-6/h2-4H,1,5H2",[O]OCC=COC=C
S(457),2,0,"InChI=1S/C5H7O3/c1-3-5(8-6)7-4-2/h3-5H,1-2H2",[O]OC(OC=C)C=C
S(114),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h5H,1-3H2",O=C1CCCC1O[O]
S(134),2,0,"InChI=1S/C5H7O3/c1-4-2-3-5(7-4)8-6/h2,5-6H,1,3H2",OOC1OC(=CC1)[CH2]
C5H7O(42),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h1H,2-4H2",[CH]=C1OCCC1
S(492),2,0,"InChI=1S/C5H7O3/c1-2-3-5(6)4-8-7/h2H,1,3-4H2",O=C(CC=C)CO[O]
C5H7O(489),2,0,"InChI=1S/C5H7O/c1-4-2-5(6)3-4/h4H,1-3H2",O=C1CC(C1)[CH2]
C5H8O(91),1,0,"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2",O1C2CCC1C2
C5H7O(54),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h4-5H,3H2,1H3",CC1C[C]=CO1
C5H7O(40),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2H,1,3-4H2",C=C1OC[CH]C1
C5H7O(423),2,0,"InChI=1S/C5H7O/c1-4-2-5(4)3-6/h3-5H,1-2H2",O=CC1C(C1)[CH2]
S(173),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1-2,4-6H,3H2",OC1CC(O[O])C=C1
S(416),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3-4,6H,1-2H2",OC1CCC(=C1)O[O]
S(483),2,0,"InChI=1S/C5H7O3/c1-3-7-5(2)4-8-6/h3H,1-2,4H2",[O]OCC(OC=C)=C
S(130),2,0,"InChI=1S/C5H7O3/c1-2-5-7-4(1)3-6-8-5/h5H,1-3H2",O1[C]2COOC1CC2
S(438),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1,3-4H,2,5H2",O=CCC=CCO[O]
C5H7O(123),2,0,"InChI=1S/C5H7O/c1-2-4-6-5-3-1/h2,4-5H,1,3H2",O1[CH]CCC=C1
S(172),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h1,3-6H,2H2",OC1CC=CC1O[O]
C5H6O(39),1,0,"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2,4H,1,3H2",C=C1CC=CO1
