eq,rate
H(8) + C5H7O2(16) = C5H8O2(44),"SimpleRate(k=ArrheniusFunction(A=5250690000.0, b=1.273, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(18) + C5H7(2) = C5H8O2(44),"SimpleRate(k=ArrheniusFunction(A=7127620000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(37) + C3H3(38) = C5H7(6),"SimpleRate(k=ArrheniusFunction(A=18920.0, b=2.41, E=9.35, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(18) + C3H3(38) = S(258),"SimpleRate(k=ArrheniusFunction(A=0.345106, b=3.73, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(18) + C3H3(38) = S(257),"SimpleRate(k=ArrheniusFunction(A=3632220.0, b=1.598, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H3(38) = C3H4O(256),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H3(38) = C3H4(254),"SimpleRate(k=ArrheniusFunction(A=20480000000000.0, b=0.206, E=-0.173, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H3(38) = C#CC(253),"SimpleRate(k=ArrheniusFunction(A=63980000000000.0, b=0.102, E=-0.031, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C3H3(38) = S(252),"SimpleRate(k=ArrheniusFunction(A=8270.0, b=2.525, E=1.989, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(252) = S(258),"SimpleRate(k=ArrheniusFunction(A=5250690000.0, b=1.273, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C3H3(38) = S(251),"SimpleRate(k=ArrheniusFunction(A=47800.0, b=2.243, E=-1.064, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(251) = S(257),"SimpleRate(k=ArrheniusFunction(A=5250690000.0, b=1.273, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(16) = C5H7O2(25),"SimpleRate(k=ArrheniusFunction(A=12044.42, b=1.9, E=11.75, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(17) = C5H7O2(25),"SimpleRate(k=ArrheniusFunction(A=5885777000.0, b=0.797, E=28.623, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(18) + C5H6(12) = C5H7O2(25),"SimpleRate(k=ArrheniusFunction(A=89.98779, b=3.11, E=7.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O2(25) = C5H8O2(45),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O2(25) = C5H8O2(44),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(25) = HO(21) + C5H6O(293),"SimpleRate(k=ArrheniusFunction(A=1380000000000.0, b=0.0, E=10.909, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O2(15) = C5H8O2(46),"SimpleRate(k=ArrheniusFunction(A=5250690000.0, b=1.273, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(18) + C5H7(1) = C5H8O2(46),"SimpleRate(k=ArrheniusFunction(A=3563810000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(72) = C5H7O2(30),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=74.425, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(72) = S(106),"SimpleRate(k=ArrheniusFunction(A=71767490.0, b=1.489, E=33.12, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(188) = S(106),"SimpleRate(k=ArrheniusFunction(A=616370000.0, b=1.3, E=41.15, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(72) = S(188),"SimpleRate(k=ArrheniusFunction(A=210000.0, b=1.76, E=12.88, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(42) = S(138),"SimpleRate(k=ArrheniusFunction(A=11666.75, b=1.904, E=12.327, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(106) = S(189),"SimpleRate(k=ArrheniusFunction(A=16098450000.0, b=0.8, E=32.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(189) = C5H7O2(72),"SimpleRate(k=ArrheniusFunction(A=2960.0, b=2.11, E=20.721, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(188) = S(189),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = C5H7O2(72),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=17.367, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = S(341),"SimpleRate(k=ArrheniusFunction(A=774568200.0, b=1.384, E=38.067, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = S(341),"SimpleRate(k=ArrheniusFunction(A=363472.9, b=1.922, E=24.413, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = S(341),"SimpleRate(k=ArrheniusFunction(A=774568200.0, b=1.384, E=38.067, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = S(341),"SimpleRate(k=ArrheniusFunction(A=774568200.0, b=1.384, E=38.067, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(312) = S(337),"SimpleRate(k=ArrheniusFunction(A=39470500000.0, b=-0.098, E=12.831, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(34) = C5H7O2(15),"SimpleRate(k=ArrheniusFunction(A=0.03784917, b=3.26, E=6.425, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O2(34) = C5H8O2(46),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O2(34) = HO(21) + C5H6O(364),"SimpleRate(k=ArrheniusFunction(A=150300000000.0, b=0.221, E=2.123, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(22) = C5H7O(95),"SimpleRate(k=ArrheniusFunction(A=4769551.0, b=1.945, E=-0.579, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(95) = C5H8O(88),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(95) = C5H8O2(46),"SimpleRate(k=ArrheniusFunction(A=20000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(35) = C5H7(108),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(108) = S(379),"SimpleRate(k=ArrheniusFunction(A=7127620000000.0, b=-0.054, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(108) = C5H7(378),"SimpleRate(k=ArrheniusFunction(A=15940.8, b=2.28, E=13.049, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(311) = C5H7O2(72),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=12.002, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(311) = S(401),"SimpleRate(k=ArrheniusFunction(A=208392.4, b=1.494, E=10.361, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(311) = S(395),"SimpleRate(k=ArrheniusFunction(A=111127.0, b=1.46, E=5.049, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(316) = S(188),"SimpleRate(k=ArrheniusFunction(A=94700000.0, b=0.85, E=2.157, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(313) = C5H7O2(72),"SimpleRate(k=ArrheniusFunction(A=50248580.0, b=1.86, E=7.75, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(387) = C5H7(378),"SimpleRate(k=ArrheniusFunction(A=63200000000.0, b=0.35, E=3.125, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(64) = C5H7(11),"SimpleRate(k=ArrheniusFunction(A=14480000000.0, b=0.82, E=37.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(14) = C5H7(64),"SimpleRate(k=ArrheniusFunction(A=1080000.0, b=1.99, E=25.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(64) = C5H7(14),"SimpleRate(k=ArrheniusFunction(A=274000000.0, b=1.713, E=43.474, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(64) = C5H7(108),"SimpleRate(k=ArrheniusFunction(A=1196630000.0, b=0.841, E=27.139, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(64) = C5H7(387),"SimpleRate(k=ArrheniusFunction(A=15940.8, b=2.28, E=8.05, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(14) = C5H7(64),"SimpleRate(k=ArrheniusFunction(A=1080000.0, b=1.99, E=25.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7(14) = C5H7(64),"SimpleRate(k=ArrheniusFunction(A=1080000.0, b=1.99, E=25.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(138) = HO(21) + C5H6O(325),"SimpleRate(k=ArrheniusFunction(A=272000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
