'name','smiles','inchi','inchikey','mult','charge','canon_enant_ich'
'O2(6)','O=O','InChI=1S/O2/c1-2','MYMOFIZGZYHOMD-UHFFFAOYSA-N','3','0','InChI=1S/O2/c1-2'
'HO2(8)','[O]O','InChI=1S/HO2/c1-2/h1H','OUUQCZGPVNCOIJ-UHFFFAOYSA-N','2','0','InChI=1S/HO2/c1-2/h1H'
'S(1700)rrs1','OO[C@@H]1[CH][C@@H]2[C@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4-,5+/m1/s1','KAQAQDLIFRUGSD-WDCZJNDASA-N','2','0','InChI=1/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4-,5+/m0/s1'
'S(1704)rrr0','OO[C@H]1C[CH][C@H]2[C@@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4-,5-/m0/s1','GOQQSGIZRWIWAH-YUPRTTJUSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4-,5-/m0/s1'
'S(1704)rsr0','OO[C@@H]1C[CH][C@H]2[C@@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4+,5-/m0/s1','GOQQSGIZRWIWAH-LMVFSUKVSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4+,5-/m0/s1'
'S(1704)rsr1','OO[C@H]1C[CH][C@@H]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4+,5-/m1/s1','GOQQSGIZRWIWAH-MROZADKFSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4+,5-/m0/s1'
'S(1704)rrr1','OO[C@@H]1C[CH][C@@H]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4-,5-/m1/s1','GOQQSGIZRWIWAH-UOWFLXDJSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h1,3-6H,2H2/t3-,4-,5-/m0/s1'
'S(1703)rr0','OO[C@H]1CC[C]2[C@@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m0/s1','BVIUDNHVXQTSRA-WHFBIAKZSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m0/s1'
'S(1703)rs0','OO[C@H]1CC[C]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m0/s1','BVIUDNHVXQTSRA-CRCLSJGQSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m0/s1'
'S(1703)rs1','OO[C@@H]1CC[C]2[C@@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m1/s1','BVIUDNHVXQTSRA-UHNVWZDZSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5+/m0/s1'
'S(1703)rr1','OO[C@@H]1CC[C]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m1/s1','BVIUDNHVXQTSRA-RFZPGFLSSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h4-6H,1-2H2/t4-,5-/m0/s1'
'S(1701)rr0','OO[C@H]1C[C]2[C@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4+/m1/s1','ZFIMYAOABRJVRL-DMTCNVIQSA-N','2','0','InChI=1/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4+/m0/s1'
'S(1701)rs0','OO[C@H]1C[C]2[C@@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4-/m1/s1','ZFIMYAOABRJVRL-QWWZWVQMSA-N','2','0','InChI=1/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4-/m0/s1'
'S(1701)rs1','OO[C@@H]1C[C]2[C@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4-/m0/s1','ZFIMYAOABRJVRL-IMJSIDKUSA-N','2','0','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4-/m0/s1'
'S(1701)rr1','OO[C@@H]1C[C]2[C@@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4+/m0/s1','ZFIMYAOABRJVRL-IUYQGCFVSA-N','2','0','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h3-4,6H,1-2H2/t3-,4+/m0/s1'
